document,page,section,text,source_file
Student Handbook August 2026,14,,6,Student_Handbook_August_2026.pdf
Student Handbook August 2026,15,Academic Regulations,"1 ADMISSION Admission to the University shall be open to all persons irrespective of caste, class, creed, gender, abilities, or nationality. All admissions shall be made on the basis of merit in the qualifying examinations and as per the rules and guidelines prescribed by the Government of Karnataka, other concerned regulatory bodies and the entrance examinations conducted by the University. The students shall be admitted to a Program subject to fulfilment of eligibility criteria, as prescribed by the University for the respective Program. A student admitted to a Program of study, shall continue to remain registered for such a Program, till they successfully complete the Program or withdraw from the Program in accordance with the concerned Program Regulations. Every student duly admitted to the University for a Program after compliance with prescribed formalities and payment of prescribed fees as applicable and other amounts and submission of prescribed documents and certificates shall be allotted a University Enrolment Number OR UEN. If a student fails to pay the University Fee, or fails to produce all the mandatory documents and certificates required for admission to the University before the prescribed last date, the Provisional Offer of Admission to the student shall stand withdrawn. If a student desires to join the University on the basis of Lateral Entry or Transfer of Credits from other Institutes/Universities during the Program, they shall be examined for eligibility for admission as per the procedure and criteria laid down in the Academic Regulations of the University and the concerned Program Regulations, and admission shall be dependent on their eligibility so determined. Confirmation of admission and enrolment in the University is subject to fulfilment of the eligibility criteria. 2 FEE POLICY a. The University fee consists of components such as Tuition Fee, Security Deposit (Refundable), Examination Fee, Convocation Fee and such other components as may be prescribed by the Board of Management from time to time. b. Every program of the University has a prescribed University Fee. Further the Fee Structure and the payment schedule for the entire duration of the concerned program is announced by way of notification before the commencement of each academic year. c. The Tuition Fee always means the Annual Tuition Fee for an academic year for a program. The Annual Tuition Fee does not include the expenses / charges for extra- curricular activities, local / international educational trips and other value-added programs that may be introduced from time to time. 7",Student_Handbook_August_2026.pdf
Student Handbook August 2026,16,Registration,"d. The Security Deposit is a Refundable Security Deposit without any interest, subject to deduction of outstanding dues if any, after the student graduates from the program or discontinues from the program or for whatever the reason(s). e. The Payment Schedule of the University Fee must be strictly adhered to, by all the students. Failure to comply shall result in the student not being eligible for registration to the concerned academic year and late fee will be charged accordingly. Further, the students are cautioned that this could lead to the loss of an academic year. f. Vidyashilp University shall not be obliged to send any reminders for payment of the University Fee. If it is done, it is only in the interest of students and cannot be demanded or referred to in the event of failure to pay the University Fee as per the specified schedule. g. The University Fee Structure is subject to change from time to time and shall be notified by the University. The University’s decision regarding changes in fee structure is final and binding on all concerned. 3 PAYMENT OF UNIVERSITY FEE a. For Students who seek admission directly in the University: Students who seek admission directly for a specific program in the University shall be notified of the prescribed University Fee and schedule of payment for first year and subsequent years in the Provisional Admission Letter. Failure to remit the fee as per the specified payment schedule or commencement of each academic year, shall result in the forfeiture of admission to the program and applicability of late fee accordingly as decided by the University time to time. b. For General Students admitted through CET of Government of Karnataka: [i] The Fee Structure (Engineering Fee Structure for CET Fee) for students admitted through CET shall be as notified by the Karnataka Examinations Authority (KEA). First year’s tuition fee shall be remitted to the CET-KEA at the time of counselling / seat selection. [ii] On reporting to the University for confirmation of admission to the concerned program, the student shall also remit “other fees” as notified by the University from time to time. [iii] Subsequent years’ tuition and other fees shall be remitted directly to the University on or before the notified last date. Failure to remit “other fees” notified by the university, shall result in the forfeiture of admission to the program and charge of the late fee as may be prescribed. c. For category (SC/ST/others as specified by KEA) students admitted through CET of Government of Karnataka: 8",Student_Handbook_August_2026.pdf
Student Handbook August 2026,17,Registration,"[i] The Fee Structure (Engineering Fee Structure for CET Fee) for students admitted through CET shall be as notified by the Karnataka Examinations Authority (KEA). [ii] On reporting to the University for confirmation of admission to the concerned program, the student shall remit “other fees” as notified by the University. [iii] Further, such student(s) shall compulsorily require to apply for/renew the Scholarship as notified by the Government of Karnataka. Upon receipt of scholarship from the Government of Karnataka, such Student(s) shall promptly remit the scholarship amount towards the fee to the University within five (05) working days on receipt of the scholarship from the Government of Karnataka. It is the sole responsibility of the student(s) to comply with the norms for payment of Fee within the stipulated time. Failure to pay the University Fee / scholarship amount as per the specified schedule shall result in (i) the student being declared ineligible for registration to the term end exams, which could result in loss of an academic year; (ii) levy late fee for late remittance(s); (iii) in case of SC/ST/OBC students, a Report will be sent to the Government of Karnataka about non-remittance of scholarship amount to the University towards the fee and misuse of the same. 4 PAYMENT PROCEDURE a. All fee payments should necessarily be made online only using the login credentials of the fee portal as instructed by the University from time to time. b. The Fee is payable in INR only c. The University will not accept Cash, DD and Cheque. d. The digital receipt will be generated by the online system subject to realization of payments. e. All statutory taxes / government levies, convenience charges and bank charges pertaining to inward remittance of any fee, if any, shall be borne by the payer. f. The University shall not be responsible for any fee amount returned to the payer (Student) without being credited to Vidyashilp University bank account. In such cases, late fee as may be prescribed shall be applicable till the date of receipt of the fee by Vidyashilp University. g. It shall be the sole responsibility of the student to ensure that the fee payment process is completed within the specified time. In case a student is required to repeat/re-register for an Academic Year, the Annual Fee payable by her/him shall correspond to the Academic Year to be repeated, and shall be as per the Fee Policy in force at that point of time. The policies relating to the University Fee and Deposits, where applicable, are the prerogative of Vidyashilp University and may be revised by the University from time to time. Such changes shall be binding on all concerned. 9",Student_Handbook_August_2026.pdf
Student Handbook August 2026,18,Scholarship,"5 FEE CONCESSION AND SCHOLARSHIP POLICY Introduction: Vidyashilp University is committed for providing the best education opportunities to motivated students. The University has established various categories of scholarships to encourage and enable students to pursue education at Vidyashilp University. Scholarships are provided to reward and support meritorious and talented students, who have demonstrated exceptional performance in academics, sports and co-curricular activities. The University is particularly committed to enabling meritorious students with financial constraints, differently abled students and achievers at the state and national levels, through appropriate scholarships. 5.1 Categories of Scholarships To cater to the different needs and circumstances of meritorious students, the University offers four (04) categories of Scholarships. 5.1.1 Merit-based Scholarship at the time of Admission Merit scholarships are awarded to students with outstanding academic performance. This scholarship is awarded at the time of admission to the 1 st year of a program. Two (02) sub-categories of Merit Scholarships are offered: 5.1.2 Outstanding achievement in State / National / International Level Entrance Examinations: This Scholarship is awarded based on the performance in the State / National / International Level Entrance Examinations specified for a particular program. 5.1.3 Meritorious Performance in the Qualifying Examination: The Scholarship is awarded based on the performance in the Qualifying Examinations (State / National / International Boards). The details of the extent of scholarship and the corresponding eligibility criteria are as per the scholarship policy and subject to approval by the Scholarship Committee. 5.2 Enabling Scholarship The University is committed to ensure that a meritorious student is not hindered from pursuing education at Vidyashilp due to financial constraints. Three (03) sub-categories of enabling scholarships are offered: 10",Student_Handbook_August_2026.pdf
Student Handbook August 2026,19,Scholarship,"5.2.1 Low Income Based Scholarship This scholarship is offered to enable meritorious students whose family income is a constraint to meet the tuition fees of the program. 5.2.2 Single Parent (Mother) Income Based Scholarship. This Scholarship is specifically offered to a student with Single Parent (Mother) having financial constraints to pursue education at Vidyashilp. 5.2.3 Ex-Service Parent Income Based Scholarship This scholarship is offered to a meritorious student whose parent (father/mother) is an ex-service personnel with financial constraints. The definition of ex-service is specific to commissioned/non-commissioned staff of the Armed Forces and staff of the Central/State Police Services. 5.2.4 The details of the extent of scholarship and the corresponding eligibility criteria are as per the scholarship policy and subject to approval by the Scholarship Committee. 5.3 Encouragement Scholarship This scholarship is awarded to recognize and encourage students who have excelled in various sports / culture / fine arts/ sciences and have participated / been awarded at State/ National / International levels. The University is also committed to encourage differently-abled students to pursue education at Vidyashilp University. Two (02) sub-categories of Encouragement Scholarships are offered: 5.3.1 Scholarship for Outstanding performance in the fields of Sports/Culture/Fine Arts/Sciences. 5.3.2 Scholarship for Differently-Abled. 5.3.3 The details of the extent of scholarship and the corresponding eligibility criteria are as per the scholarship policy and subject to approval by the Scholarship Committee. 5.4 Academic Performance Scholarship (During the Program) To reward and motivate excellence in overall academic performance, scholarships are awarded to the selected outstanding students during the program i.e., from 2nd Year onwards. The details of the extent of scholarship and the corresponding eligibility criteria are as per the scholarship policy and subject to approval by the Scholarship Committee. 11",Student_Handbook_August_2026.pdf
Student Handbook August 2026,20,Scholarship,"5.5 General Terms and Conditions a) All types of Scholarships shall be applicable only on the Tuition Fee for the concerned academic year. b) A student shall be eligible for only one scholarship in a given academic year. c) All types of Scholarships shall be valid only for the concerned academic year. d) Renewal of any type of scholarship is not automatic and shall be governed by the terms and criteria as mentioned in this policy. e) The number of Scholarships to be awarded under each type and sub-category for the concerned academic year shall be solely decided by the Board of Management on the recommendation of the University Scholarship Committee. f) A student who has been selected for a scholarship shall provide a joint (with parent) undertaking. The scholarship shall be terminated and the scholarship amount shall be returned to the University, in case of the following violations; i) Any information provided in the scholarship application form is found to be untrue or fraudulent; ii) Found guilty and penalized under any disciplinary action; iii) Withdraws/discontinues studies at the University (The withdrawal process shall not be completed unless the scholarship amount is fully returned). Further, such a student shall not be eligible to re-apply for any University scholarship. 5.6 Scholarship Process a) During Admissions: i) Eligible candidates may submit the scholarship application form with all relevant documents to the admission office. ii) The University Scholarship Committee shall scrutinize and shortlist candidates to be interviewed by the Committee. iii) The award of scholarship shall be recommended by the University Scholarship Committee for the approval of the Vice Chancellor. iv) The decision of the Vice Chancellor shall be final. b) During the Program: i) The University Scholarship Committee shall invite applications at the commencement of an academic year for the Academic Performance Scholarships which are awarded based on performance during the previous academic year. ii) The committee shall also invite applications for renewal of Enabling, Encouraging Scholarships which was provided at the time of admissions and the same shall be subject to review by the Scholarship Committee. The committee shall recommend the list of scholarship awardees to the Vice Chancellor for approval and the decision of the Vice-Chancellor shall be final. 12",Student_Handbook_August_2026.pdf
Student Handbook August 2026,21,Academic Regulations,"SECTION - III ACADEMIC REGULATIONS  Amended Academic Regulations approved in the 6th Meeting of the Academic Council held on July 29, 2025 vide Resolution No 6.16. 13",Student_Handbook_August_2026.pdf
Student Handbook August 2026,22,,14,Student_Handbook_August_2026.pdf
Student Handbook August 2026,23,Registration,"Academic Calendar 1.1. The academic activities of the University are regulated by the Academic Calendar approved by the Academic Council and notified by the University at least one calendar month before the commencement of each academic year. 1.2. An academic year in the University shall normally be divided into two semesters consisting of ninety (90) University working days each, known as ‘Odd Semester’ (normally from July / August to December) and ‘Even Semester’ (normally from January to April/May). 1.3. An additional Academic Term known as the ‘Summer Term’ may be scheduled during the summer break (June to July). 2. Registration 2.1. Every student shall complete the mandatory requirement known as the ‘Registration’ procedure and register for the prescribed and approved Courses to be pursued during a given Academic Term. This Registration process is mandatory every Semester / Academic Term till the completion of the Program. The University Registrar's Office manages the registration process and related activities. 2.2. The prescribed date for Registration shall be announced in the Academic Calendar and through notifications issued by the University to this effect. 2.3. The Chairperson of the Program Academic Committee (PAC) of each Program/School shall communicate the list of approved/prescribed Courses available for Registration in the concerned Semester to the University Registrar's Office for Notification as per the specified dates in the Academic Calendar. 2.4. Every student after consulting their Faculty Advisor [Mentor] is required to register for the approved Courses offered in the given Academic Term at the commencement of each Semester/Academic Term on the days fixed for such registration as notified in the Academic Calendar or the University Notification to this effect. On joining the University, each student is assigned a Faculty Advisor [Mentor] to counsel the student on matters related to the Registration process. 2.5. Without registration, any academic activity (Course / Internship / Project, etc.) undergone by a student will not be counted towards the requirements for the award of the Degree. No student shall be permitted to attend classes without completing the appropriate registration procedure. 15",Student_Handbook_August_2026.pdf
Student Handbook August 2026,24,Registration,"2.6. Late registration shall only be permitted in case of medical exigencies, specifically hospitalization, trauma or contagious diseases, for the student / family member, and participation in approved competitions/events as detailed in Sub-Clauses 2.6.1 and 2.6.2. below. In such cases, a student may be permitted for late registration with prior approval from the concerned Program Chair / Dean of the concerned School. In the absence of Program Chair / Dean of the concerned School, the authorised faculty shall approve. 2.6.1.In cases of medical exigency (viz. hospitalization, trauma or contagious disease only), for the student / family member, the maximum period permissible for late registration shall not be more than two (02) calendar weeks counted from the specified date of Registration announced by the University. The student must produce the medical certificates, medical prescriptions, hospital discharge report, medical fitness report and all such relevant documents duly attested by the concerned registered medical officer of the hospital where the concerned student / family member was hospitalized or medically treated. The student shall not be eligible for late registration if they fail to produce authentic medical certificates and relevant documents in support of the medical exigency. 2.6.2.If a student of second and subsequent semesters has been selected / permitted by the University to participate in State / National / International Competitions / Events, the concerned student may be permitted for late registration. The student must produce duly attested documents and/or Certificates to be eligible for the provision of late registration. The number of days for which the concerned student shall be given permission for late registration shall be approved by the Vice Chancellor on recommendation of both the Director, Campus Life and Program Chair of the concerned school. 2.7. In case of any other reason for late registration other than the cases specified in Sub-Clauses 2.6.1 and 2.6.2 above, the maximum permissible period for late registration shall not be more than one (01) calendar week counted from the specified date of Registration announced by the University. Further, the student shall pay a Late Fee for late registration as specified by the University at the commencement of the Academic Term. No 16",Student_Handbook_August_2026.pdf
Student Handbook August 2026,25,Registration,"relaxation whatsoever shall be given on attendance requirement in case of late registration. Under no circumstances shall such a student be permitted to register for the Academic Term after the permissible period for late registration of one (01) calendar week counted from the specified date of Registration. 2.8. Further, the provisions mentioned in Clauses 2.6 and 2.7 are applicable only for registration at the commencement of a Semester and does not apply for the Summer Term (Refer Section 11). 2.9. Students are not permitted to re-register for Courses which they have already passed, except under the provisions and conditions of Clauses 11.4.3 and 12.5. 2.10. A student shall be permitted to register in the next Semester only if all the following conditions are fulfilled: 2.10.1.The student has paid all specified fees of the University as per the University Fee Policy and payment schedule. 2.10.2.The student has cleared all University, Hostel, Transport and Library dues (if any). 2.10.3.The student has not been debarred from registering on any specific grounds by the University. 2.11. Further, the student must fulfil the progression criteria prescribed in Clause 12.1 to register for the Semester at the commencement of the concerned Academic Year. 2.12. A student who is eligible for registration, but fails to register for the Academic Term within the specified dates, including the late registration date, shall be removed from the rolls for the concerned Academic Term and shall not be permitted to attend classes for the concerned Academic Term. Such a student shall have to register for the corresponding Academic Term in the next academic year. 2.13. Pre-Registration (Specialization / Minor / Open and other specified Courses) for higher Semesters: All students (other than the students admitted to the first Semester of a Program) intending to register for the next higher Semester are required to complete the Pre-Registration process. A student, after consultation with the Faculty Advisor [Mentor], is required to declare their intent to 17",Student_Handbook_August_2026.pdf
Student Handbook August 2026,26,Academic Regulations,"register for Specialization / Minor / Open and any other specified Courses, as/if applicable, well in advance, before the actual start of the concerned Academic Term, through the process of Pre-Registration as per the schedule/dates announced in the Academic Calendar and/or the notifications issued by the University to this effect. Specialization / Minor courses will be offered only if a minimum of ten (10) students register for the same. However, the program chair may permit to offer the courses at their discretion. 2.14. Course Pre-Requisites For a student to register for some Courses, it may be required either to have exposure in, or to have completed satisfactorily, or to have prior earned credits in some specified Courses. Such Course pre-requisites shall be specified in the concerned Program Regulations / Course Plan as approved by the PAC. 2.15. Changes in Registration: Add/Drop Students may add and drop Courses after consulting the concerned Faculty Advisors [Mentor] and submit a request for add/drop to the concerned Program Chair/Dean of Schools within two weeks of commencement of classes for add/drop. On approval, the Course(s) shall be added, and the dropped Course(s) will not appear on the Grade Card (Refer Clause 8.14). Student may seek transfer from one Program to another before the commencement of registration for the Second Year with due approval of both Program Chairs, subject to the eligibility criteria and provisions of the academic regulations. On no account shall a transfer from one Program to another be allowed beyond the stipulated period. 2.16. A student of a particular degree Program shall register for the appropriate number of Course credits in each Semester/session that is within the minimum and maximum limits specific to that degree Program as stipulated in the Program Regulations. 2.17. Audit a Course Auditing a Course is a provision for a student who may opt to register for a Course to acquire knowledge / skills, but not to earn credits and grade points. A student who desires to register for auditing a Course shall consult their Faculty Advisor [Mentor] and seek approval of the concerned Course 18",Student_Handbook_August_2026.pdf
Student Handbook August 2026,27,Registration,"Instructor (Refer Clause 8.1). Registration shall only be permitted as per the criteria and guidelines prescribed by the concerned Course Instructor and duly approved by the concerned PAC. The student only earns a “S” [satisfactory] OR “U” [unsatisfactory] for Audited Course. Audited Courses shall not count towards completing the degree requirements. In the event that the student secures a U grade in an audit course, which is non mandatory, it will be deemed that such a student has discontinued the course. The U grade will not be reflected in the transcript. 3. Academic Credits - Course Credit Structure The Credit Structure is used to define various types of Courses to provide for the appropriate pedagogy and methods of assessment and evaluation. The flexibility required to accomplish the Course learning objectives and outcomes can be provided for, while retaining a common framework for Credit allocation. More importantly, it is necessary to have a transparent, credible and robust system for planning, delivery and evaluation of each Course of the diverse Programs of study of the University. 3.1. The Credit Structure for defining and categorizing Courses is the L – T – P (Lecture – Tutorial – Practical) framework. The Course Credits are fixed based on the following norms: Lecture / Tutorial: One (01) contact/classroom hour per week is assigned One (01) Credit. Practical: Two (02) hours per week of practice/studio/laboratory/field and other similar practice or skill development components, are assigned One (01) Credit. For example: A Course with L – T – P structure of 4 – 0 – 0 will be assigned 4 Credits. A Course with L – T – P structure of 3 – 1 – 0 will be assigned 4 Credits. A Course with L – T – P structure of 0 – 0 – 4 will be assigned 2 Credits. A Course with L – T – P structure of 1 – 0 – 4 will be assigned 3 Credits. 3.2. Practice/Skill based Courses like Industry Internship, Capstone, Research Dissertation, Integrative Studio, Interdisciplinary Project and such similar Courses, and Non-Taught Credit Courses like Seminar, Summer / Short Internship, Social Engagement / Field Projects and such similar Courses, where the pedagogy does not lend itself to a typical L-T-P structure as defined in Clause 3.1, are assigned the number of Credits based on the quantum of work/effort required to fulfil the learning objectives and outcomes prescribed for the concerned Courses. 19",Student_Handbook_August_2026.pdf
Student Handbook August 2026,28,General,"3.3. A student earns credits by satisfactorily completing Courses and other academic activities every Academic Term. The credits associated with a Course are dependent upon the number of hours of instruction per week in that Course. Similarly, the credit associated with any of the other learning activities is dependent upon the quantum of work expected to be put in for each of the other learning activities. In general, a certain quantum of academic work measured in terms of Credits is laid down as the minimum requirements for the award of a particular Degree. 4. Program Regulations The Program Regulations is a set of Program specific regulations, as applicable, and the Program Curriculum for the concerned Degree Program. The Program Regulations shall be recommended by the concerned Board of Studies for approval of the Academic Council and shall include the following details: 4.1.Program specific regulations with respect to admission criteria, Program duration, mandatory minimum credit requirements for the award of the Degree, assessment and evaluation guidelines/criteria, and any other regulations mandated by concerned Government Regulatory Bodies, where applicable, for the specific Program of study. The concerned Program Regulations shall provision, as applicable, for various types and title / nomenclature of qualifications. as per the guidelines outlined by the University Grants Commission (UGC). Further, the Program Regulations shall specify the process of recommendation and approval for the award of such qualifications. 4.2.The Program Structure and Curriculum with the list of Courses offered for the Program of study, with the associated Credit/s for each Course. 5. Medium of Instruction and Evaluation English shall be the medium of instruction and evaluation. Any other language, if required for a specific Course (or Courses), shall be proposed by concerned Board of Studies and approved by the Academic Council and Board of Management of the University. 6. Maximum Duration for the Completion of a Program 6.1.The permissible maximum duration (number of academic years) for completion of a Program (Undergraduate and Postgraduate) shall be (N+2) years, where N is the normal duration (number of academic years) as prescribed by the concerned Program Regulations. 20",Student_Handbook_August_2026.pdf
